Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,SEED,LEARNING_RATE,BATCH_SIZE,MDP_MODULE_DISCOUNT
191,:,1612282329.42,5.464,0,228,0,0,991818103,1,5,0.95
190,:,1612282329.299,6.039,0,228,0,0,3543305936,2,25,0.95
192,:,1612282330.018,5.824,0,228,0,0,384799037,0.0625,5,0.9
193,:,1612282332.864,5.289,0,228,0,0,384799037,0.0625,1,0.9
194,:,1612282332.962,5.68,0,228,0,0,2289609983,1,25,0.95
196,:,1612282333.326,5.358,0,228,0,0,1501843923,1,5,0.95
195,:,1612282333.184,5.631,0,228,0,0,2034693659,2,25,0.95
197,:,1612282333.394,5.44,0,228,0,0,1395720285,0.0625,5,0.9
200,:,1612282333.645,5.328,0,228,0,0,2182315642,2,5,0.95
201,:,1612282333.683,5.299,0,228,0,0,733348321,0.125,1,0.9
202,:,1612282333.73,5.335,0,228,0,0,3390822559,0.0625,1,0.95
206,:,1612282333.87,5.225,0,228,0,0,4173556719,0.25,1,0.8
203,:,1612282333.767,5.47,0,228,0,0,733348321,0.5,5,0.9
199,:,1612282333.638,5.625,0,228,0,0,2182315642,0.25,25,0.8
204,:,1612282333.835,5.434,0,228,0,0,384799037,0.5,5,0.95
207,:,1612282333.876,5.402,0,228,0,0,240309497,1,5,0.95
208,:,1612282333.896,5.389,0,228,0,0,1111384852,0.125,1,0.95
209,:,1612282333.938,5.384,0,228,0,0,240309497,0.125,1,0.95
198,:,1612282333.575,5.907,0,228,0,0,90715284,0.25,25,0.9
214,:,1612282334.22,5.302,0,228,0,0,3543305936,0.25,1,0.8
212,:,1612282334.181,5.391,0,228,0,0,384799037,0.125,5,0.9
205,:,1612282333.855,5.753,0,228,0,0,1501843923,0.5,25,0.95
210,:,1612282333.945,5.713,0,228,0,0,3390822559,1,25,0.95
215,:,1612282334.261,5.407,0,228,0,0,4017802264,0.125,1,0.8
217,:,1612282334.416,5.407,0,228,0,0,4173556719,0.25,5,0.9
211,:,1612282334.072,5.843,0,228,0,0,991818103,0.125,25,0.9
216,:,1612282334.33,5.593,0,228,0,0,4047805392,2,5,0.8
213,:,1612282334.202,5.86,0,228,0,0,2289609983,0.0625,25,0.95
218,:,1612282334.548,5.52,0,228,0,0,1111384852,0.25,1,0.9
220,:,1612282334.634,5.457,0,228,0,0,1111384852,0.125,5,0.95
219,:,1612282334.61,5.643,0,228,0,0,384799037,0.25,25,0.95
222,:,1612282334.892,5.371,0,228,0,0,4017802264,0.125,1,0.9
221,:,1612282334.746,5.644,0,228,0,0,4047805392,0.125,25,0.8
223,:,1612282335.372,5.802,0,228,0,0,384799037,1,25,0.95
224,:,1612282335.889,6.103,0,228,0,0,90715284,0.5,25,0.8
225,:,1612282338.178,5.375,0,228,0,0,733348321,1,5,0.95
226,:,1612282338.683,5.282,0,228,0,0,4047805392,0.0625,1,0.8
227,:,1612282338.762,5.395,0,228,0,0,2034693659,2,5,0.9
229,:,1612282338.855,5.397,0,228,0,0,384799037,0.25,1,0.9
231,:,1612282339.011,5.398,0,228,0,0,2182315642,1,5,0.8
233,:,1612282339.134,5.373,0,228,0,0,107577988,0.0625,5,0.8
235,:,1612282339.269,5.253,0,228,0,0,1953635580,0.0625,1,0.8
228,:,1612282338.834,5.717,0,228,0,0,2182315642,0.0625,25,0.8
237,:,1612282339.285,5.276,0,228,0,0,2390141961,0.5,1,0.95
230,:,1612282338.982,5.66,0,228,0,0,384799037,0.5,25,0.95
232,:,1612282339.094,5.698,0,228,0,0,107577988,0.5,25,0.8
238,:,1612282339.322,5.48,0,228,0,0,733348321,0.125,5,0.95
241,:,1612282339.572,5.326,0,228,0,0,733348321,0.0625,1,0.9
242,:,1612282339.608,5.307,0,228,0,0,240309497,2,1,0.8
234,:,1612282339.262,5.747,0,228,0,0,2034693659,0.0625,25,0.9
236,:,1612282339.278,5.752,0,228,0,0,3390822559,0.125,25,0.9
239,:,1612282339.382,5.654,0,228,0,0,1953635580,0.25,25,0.95
244,:,1612282339.669,5.402,0,228,0,0,240309497,1,1,0.8
243,:,1612282339.658,5.427,0,228,0,0,2182315642,0.0625,5,0.8
246,:,1612282339.836,5.306,0,228,0,0,384799037,2,1,0.9
247,:,1612282339.922,5.236,0,228,0,0,3543305936,2,1,0.9
240,:,1612282339.522,5.713,0,228,0,0,1501843923,0.25,25,0.8
245,:,1612282339.742,5.766,0,228,0,0,4047805392,0.0625,25,0.95
249,:,1612282340.069,5.46,0,228,0,0,733348321,0.125,1,0.95
251,:,1612282340.12,5.534,0,228,0,0,3543305936,1,5,0.8
252,:,1612282340.263,5.407,0,228,0,0,3543305936,0.0625,5,0.9
248,:,1612282339.99,5.779,0,228,0,0,2390141961,2,25,0.8
253,:,1612282340.29,5.486,0,228,0,0,4017802264,1,5,0.95
250,:,1612282340.09,5.8,0,228,0,0,4173556719,2,25,0.9
254,:,1612282340.42,5.737,0,228,0,0,4017802264,0.125,25,0.8
255,:,1612282341.25,5.828,0,228,0,0,4173556719,0.125,25,0.9
256,:,1612282342.01,5.536,0,228,0,0,1953635580,0.5,1,0.8
257,:,1612282343.562,5.438,0,228,0,0,733348321,0.5,5,0.8
260,:,1612282344.283,5.29,0,228,0,0,1111384852,1,1,0.9
261,:,1612282344.417,5.217,0,228,0,0,1111384852,0.125,1,0.8
258,:,1612282344.018,5.743,0,228,0,0,3602412539,1,25,0.95
262,:,1612282344.521,5.269,0,228,0,0,4173556719,2,1,0.8
259,:,1612282344.183,5.734,0,228,0,0,4017802264,1,25,0.9
264,:,1612282344.561,5.4,0,228,0,0,2390141961,0.0625,5,0.9
265,:,1612282344.642,5.337,0,228,0,0,2034693659,1,1,0.95
268,:,1612282344.814,5.344,0,228,0,0,2182315642,0.125,5,0.9
270,:,1612282344.944,5.311,0,228,0,0,1501843923,0.5,1,0.8
263,:,1612282344.551,5.716,0,228,0,0,2390141961,2,25,0.95
271,:,1612282345.03,5.249,0,228,0,0,4047805392,0.125,1,0.8
266,:,1612282344.726,5.669,0,228,0,0,1953635580,0.0625,25,0.95
272,:,1612282345.037,5.375,0,228,0,0,4047805392,1,5,0.95
267,:,1612282344.801,5.693,0,228,0,0,2182315642,0.25,25,0.9
274,:,1612282345.086,5.423,0,228,0,0,1111384852,1,5,0.9
276,:,1612282345.159,5.387,0,228,0,0,240309497,0.125,5,0.95
277,:,1612282345.167,5.388,0,228,0,0,1111384852,0.5,5,0.8
275,:,1612282345.143,5.443,0,228,0,0,90715284,0.5,5,0.9
269,:,1612282344.915,5.749,0,228,0,0,2182315642,2,25,0.95
273,:,1612282345.071,5.68,0,228,0,0,2034693659,2,25,0.9
278,:,1612282345.27,5.656,0,228,0,0,2390141961,2,25,0.9
283,:,1612282345.776,5.287,0,228,0,0,107577988,0.125,1,0.95
281,:,1612282345.67,5.464,0,228,0,0,1501843923,0.5,5,0.95
280,:,1612282345.554,5.633,0,228,0,0,1953635580,0.0625,25,0.9
279,:,1612282345.53,5.736,0,228,0,0,1395720285,2,25,0.8
284,:,1612282345.814,5.459,0,228,0,0,4017802264,0.5,5,0.95
282,:,1612282345.68,5.723,0,228,0,0,107577988,2,25,0.9
286,:,1612282346.166,5.251,0,228,0,0,1395720285,0.125,1,0.8
285,:,1612282345.926,5.882,0,228,0,0,3602412539,0.5,25,0.95
287,:,1612282347.088,5.346,0,228,0,0,4017802264,2,5,0.95
288,:,1612282347.578,5.504,0,228,0,0,240309497,0.125,1,0.9
289,:,1612282349.038,5.271,0,228,0,0,991818103,0.5,1,0.8
291,:,1612282349.65,5.166,0,228,0,0,1111384852,2,1,0.95
293,:,1612282349.799,5.273,0,228,0,0,384799037,0.5,1,0.9
292,:,1612282349.79,5.377,0,228,0,0,240309497,0.0625,1,0.9
294,:,1612282349.961,5.358,0,228,0,0,384799037,0.5,5,0.8
295,:,1612282349.979,5.363,0,228,0,0,1501843923,0.0625,5,0.95
290,:,1612282349.602,5.816,0,228,0,0,3543305936,0.25,25,0.95
301,:,1612282350.412,5.206,0,228,0,0,1111384852,1,1,0.95
299,:,1612282350.278,5.361,0,228,0,0,3543305936,0.0625,5,0.8
296,:,1612282350.011,5.742,0,228,0,0,3602412539,0.125,25,0.95
303,:,1612282350.509,5.273,0,228,0,0,2289609983,0.125,5,0.8
300,:,1612282350.302,5.585,0,228,0,0,1953635580,0.125,25,0.8
297,:,1612282350.18,5.734,0,228,0,0,3390822559,2,25,0.95
304,:,1612282350.546,5.378,0,228,0,0,90715284,2,5,0.9
306,:,1612282350.586,5.391,0,228,0,0,3602412539,0.25,5,0.95
305,:,1612282350.554,5.43,0,228,0,0,107577988,0.0625,5,0.9
307,:,1612282350.604,5.386,0,228,0,0,3390822559,2,1,0.95
298,:,1612282350.268,5.791,0,228,0,0,1111384852,0.5,25,0.9
309,:,1612282350.782,5.283,0,228,0,0,1953635580,2,1,0.9
302,:,1612282350.434,5.661,0,228,0,0,3390822559,0.5,25,0.95
308,:,1612282350.703,5.718,0,228,0,0,4173556719,0.25,25,0.9
311,:,1612282351.078,5.475,0,228,0,0,1111384852,2,5,0.8
312,:,1612282351.142,5.424,0,228,0,0,90715284,2,5,0.8
314,:,1612282351.273,5.303,0,228,0,0,991818103,0.125,1,0.95
315,:,1612282351.287,5.411,0,228,0,0,384799037,1,5,0.8
310,:,1612282350.962,5.822,0,228,0,0,3602412539,0.0625,25,0.9
316,:,1612282351.417,5.375,0,228,0,0,1501843923,0.0625,5,0.9
317,:,1612282351.45,5.351,0,228,0,0,991818103,0.0625,1,0.9
313,:,1612282351.211,5.752,0,228,0,0,1953635580,2,25,0.9
318,:,1612282351.838,5.338,0,228,0,0,384799037,2,1,0.8
319,:,1612282352.474,5.474,0,228,0,0,1953635580,0.25,5,0.8
320,:,1612282353.1,5.529,0,228,0,0,1395720285,1,5,0.95
321,:,1612282354.317,5.379,0,228,0,0,991818103,0.125,5,0.9
323,:,1612282355.08,5.278,0,228,0,0,2390141961,0.5,1,0.8
322,:,1612282354.863,5.643,0,228,0,0,1953635580,0.125,25,0.95
326,:,1612282355.351,5.266,0,228,0,0,2289609983,0.125,1,0.9
327,:,1612282355.442,5.296,0,228,0,0,107577988,2,1,0.9
324,:,1612282355.19,5.691,0,228,0,0,1395720285,2,25,0.95
328,:,1612282355.64,5.251,0,228,0,0,1395720285,2,1,0.9
329,:,1612282355.671,5.276,0,228,0,0,107577988,0.0625,1,0.95
325,:,1612282355.342,5.763,0,228,0,0,733348321,0.0625,25,0.95
330,:,1612282355.781,5.388,0,228,0,0,1395720285,1,5,0.9
333,:,1612282355.925,5.266,0,228,0,0,240309497,0.25,1,0.95
334,:,1612282355.95,5.267,0,228,0,0,3543305936,2,1,0.8
336,:,1612282355.99,5.3,0,228,0,0,733348321,2,1,0.9
337,:,1612282356.001,5.305,0,228,0,0,2034693659,0.25,1,0.8
338,:,1612282356.065,5.29,0,228,0,0,240309497,1,1,0.95
331,:,1612282355.817,5.698,0,228,0,0,2182315642,0.5,25,0.9
339,:,1612282356.094,5.436,0,228,0,0,1953635580,1,5,0.9
332,:,1612282355.915,5.692,0,228,0,0,4017802264,0.5,25,0.8
335,:,1612282355.984,5.683,0,228,0,0,3602412539,0.5,25,0.9
340,:,1612282356.116,5.666,0,228,0,0,2034693659,0.125,25,0.95
341,:,1612282356.458,5.407,0,228,0,0,3390822559,0.25,5,0.95
342,:,1612282356.566,5.312,0,228,0,0,240309497,0.25,1,0.8
343,:,1612282356.576,5.311,0,228,0,0,2289609983,0.25,1,0.9
344,:,1612282356.596,5.322,0,228,0,0,3390822559,0.25,1,0.8
345,:,1612282356.72,5.243,0,228,0,0,90715284,2,1,0.9
347,:,1612282356.801,5.39,0,228,0,0,1953635580,0.0625,5,0.9
349,:,1612282356.969,5.252,0,228,0,0,733348321,0.0625,1,0.95
348,:,1612282356.851,5.483,0,228,0,0,384799037,0.0625,5,0.95
346,:,1612282356.792,5.667,0,228,0,0,733348321,2,25,0.9
350,:,1612282357.194,5.273,0,228,0,0,1111384852,1,1,0.8
351,:,1612282357.966,5.422,0,228,0,0,1501843923,2,5,0.8
352,:,1612282358.642,5.559,0,228,0,0,384799037,0.0625,1,0.8
353,:,1612282359.706,5.401,0,228,0,0,1395720285,1,5,0.8
355,:,1612282360.524,5.311,0,228,0,0,2390141961,0.125,5,0.95
356,:,1612282360.638,5.391,0,228,0,0,240309497,0.125,5,0.9
354,:,1612282360.394,5.707,0,228,0,0,991818103,0.125,25,0.8
358,:,1612282360.892,5.305,0,228,0,0,2390141961,0.0625,1,0.95
363,:,1612282361.217,5.25,0,228,0,0,2182315642,0.5,1,0.9
357,:,1612282360.754,5.765,0,228,0,0,1501843923,1,25,0.95
362,:,1612282361.191,5.338,0,228,0,0,4173556719,0.0625,1,0.8
361,:,1612282361.168,5.41,0,228,0,0,991818103,0.5,1,0.9
359,:,1612282360.902,5.706,0,228,0,0,3602412539,0.25,25,0.8
365,:,1612282361.306,5.313,0,228,0,0,4017802264,1,1,0.95
366,:,1612282361.313,5.315,0,228,0,0,4173556719,2,5,0.95
367,:,1612282361.384,5.314,0,228,0,0,2289609983,0.5,1,0.8
360,:,1612282360.97,5.747,0,228,0,0,4017802264,0.5,25,0.95
370,:,1612282361.615,5.22,0,228,0,0,2182315642,1,1,0.9
368,:,1612282361.53,5.357,0,228,0,0,3543305936,0.125,5,0.8
